id,q1,a1,q2,a2,q3,a3,q4,a4,q5,a5,q6,a6,q7,a7,q8,a8,q9,a9
0,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
1,Device,コンピュータ（Windows）,Nationality,Indonesia,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,そう思う,Interest in pop music,どちらともいえない,Interest in movies,そう思う
2,Device,スマートフォン（Android）,Nationality,Japan,Submission by date,そう思う,Interest in English,どちらかというとそう思う,Interest in computers and the internet,どちらともいえない,Proficiency in Excel,どちらかというとそう思わない,Interest in the world news,どちらともいえない,Interest in pop music,どちらともいえない,Interest in movies,どちらかというとそう思う
3,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらともいえない,Interest in movies,そう思う
4,Device,コンピュータ（Windows）,Nationality,Vietnam,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,どちらかというとそう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,そう思う
5,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,どちらかというとそう思う,Proficiency in Excel,そう思う。,Interest in the world news,どちらかというとそう思う,Interest in pop music,そう思う,Interest in movies,そう思う
6,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
7,Device,スマートフォン（iPhone）,Nationality,Vietnam,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
8,Device,コンピュータ（Mac）,Nationality,Japan,Submission by date,そう思う,Interest in English,どちらかというとそう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,どちらともいえない,Interest in pop music,どちらかというとそう思う,Interest in movies,どちらかというとそう思う
9,Device,コンピュータ（Mac）,Nationality,Vietnam,Submission by date,そう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,どちらかというとそう思う。,Interest in the world news,どちらかというとそう思う,Interest in pop music,どちらともいえない,Interest in movies,どちらかというとそう思う
10,Device,コンピュータ（Windows）,Nationality,China,Submission by date,そう思わない,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,どちらかというとそう思う,Interest in movies,そう思う
11,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,どちらかというとそう思う,Interest in English,そう思う,Interest in computers and the internet,そう思う,Proficiency in Excel,そう思う。,Interest in the world news,そう思う,Interest in pop music,そう思う,Interest in movies,そう思う
