id,q1,a1,q2,a2,q3,a3,q4,a4,q5,a5,q6,a6,q7,a7,q8,a8,q9,a9
0,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
1,Device,コンピュータ（Windows）,Nationality,Indonesia,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,5,Interest in pop music,3,Interest in movies,5
2,Device,スマートフォン（Android）,Nationality,Japan,Submission by date,5,Interest in English,4,Interest in computers and the internet,3.0,Proficiency in Excel,2,Interest in the world news,3,Interest in pop music,3,Interest in movies,4
3,Device,コンピュータ（Windows）,Nationality,Japan,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,3,Interest in movies,5
4,Device,コンピュータ（Windows）,Nationality,Vietnam,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,4,Interest in pop music,4,Interest in movies,5
5,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,4.0,Proficiency in Excel,5,Interest in the world news,4,Interest in pop music,5,Interest in movies,5
6,Device,スマートフォン（iPhone）,Nationality,Nepal,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
7,Device,スマートフォン（iPhone）,Nationality,Vietnam,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,5,Interest in pop music,5,Interest in movies,5
8,Device,コンピュータ（Mac）,Nationality,Japan,Submission by date,5,Interest in English,4,Interest in computers and the internet,5.0,Proficiency in Excel,5,Interest in the world news,3,Interest in pop music,4,Interest in movies,4
9,Device,コンピュータ（Mac）,Nationality,Vietnam,Submission by date,5,Interest in English,5,Interest in computers and the internet,5.0,Proficiency in Excel,2,Interest in the world news,4,Interest in pop music,3,Interest in movies,4
